code,group_prefix
1-1,1
1-2,1
1-3,1
1-4,1
1-5,1
1-6,1
1-7,1
1-8,1
1-9,1
1-10,1
1-11,1
1-12,1
1-13,1
1-14,1
1-15,1
1-16,1
1-17,1
1-18,1
1-19,1
1-20,1
7-1,7
7-2,7
7-3,7
7-4,7
7-5,7
7-6,7
7-7,7
7-8,7
7-9,7
7-10,7
7-11,7
7-12,7
7-13,7
7-14,7
7-15,7
7-16,7
7-17,7
7-18,7
7-19,7
7-20,7
8-1,8
8-2,8
8-3,8
8-4,8
8-5,8
8-6,8
8-7,8
8-8,8
8-9,8
8-10,8
8-11,8
8-12,8
8-13,8
8-14,8
8-15,8
8-16,8
8-17,8
8-18,8
8-19,8
8-20,8
12-1,12
12-2,12
12-3,12
12-4,12
12-5,12
12-6,12
12-7,12
12-8,12
12-9,12
12-10,12
12-11,12
12-12,12
12-13,12
12-14,12
12-15,12
12-16,12
12-17,12
12-18,12
12-19,12
12-20,12
51-1,51
51-2,51
51-3,51
51-4,51
51-5,51
51-6,51
51-7,51
51-8,51
51-9,51
51-10,51
51-11,51
51-12,51
51-13,51
51-14,51
51-15,51
51-16,51
51-17,51
51-18,51
51-19,51
51-20,51
51-21,51
51-22,51
51-23,51
51-24,51
51-25,51
51-26,51
51-27,51
51-28,51
51-29,51
51-30,51
51-31,51
51-32,51
53-1,53
53-2,53
53-3,53
53-4,53
53-5,53
53-6,53
53-7,53
53-8,53
53-9,53
53-10,53
53-11,53
53-12,53
53-13,53
53-14,53
53-15,53
56-1,56
56-2,56
56-3,56
56-4,56
56-5,56
56-6,56
56-7,56
56-8,56
56-9,56
56-10,56
56-11,56
56-12,56
56-13,56
56-14,56
56-15,56
56-16,56
56-17,56
56-18,56
56-19,56
56-20,56
56-21,56
56-22,56
56-23,56
56-24,56
56-25,56
56-26,56
56-27,56
56-28,56
56-29,56
56-30,56
56-31,56
56-32,56
57-1,57
57-2,57
57-3,57
57-4,57
57-5,57
57-6,57
57-7,57
57-8,57
57-9,57
57-10,57
57-11,57
57-12,57
57-13,57
57-14,57
57-15,57
57-16,57
57-17,57
57-18,57
57-19,57
57-20,57
57-21,57
57-22,57
57-23,57
57-24,57
57-25,57
57-26,57
57-27,57
57-28,57
57-29,57
57-30,57
57-31,57
57-32,57
57-33,57
57-34,57
57-35,57
57-36,57
57-37,57
57-38,57
57-39,57
57-40,57
57-41,57
57-42,57
57-43,57
57-44,57
57-45,57
57-46,57
57-47,57
57-48,57
57-49,57
57-50,57
57-51,57
57-52,57
57-53,57
57-54,57
60-1,60
60-2,60
60-3,60
60-4,60
60-5,60
60-6,60
60-7,60
60-8,60
60-9,60
60-10,60
60-11,60
60-12,60
60-13,60
60-14,60
60-15,60
60-16,60
60-17,60
60-18,60
60-19,60
60-20,60
60-21,60
60-22,60
60-23,60
60-24,60
60-25,60
60-26,60
60-27,60
60-28,60
60-29,60
60-30,60
60-31,60
60-32,60
60-33,60
60-34,60
60-35,60
60-36,60
60-37,60
60-38,60
60-39,60
60-40,60
60-41,60
60-42,60
60-43,60
60-44,60
60-45,60
60-46,60
60-47,60
60-48,60
60-49,60
60-50,60
60-51,60
60-52,60
60-53,60
60-54,60
60-55,60
60-56,60
GH-1,GH
GH-2,GH
GH-3,GH
GH-4,GH
GH-5,GH
GH-6,GH
GH-7,GH
GH-8,GH
GH-9,GH
GH-10,GH
GH-11,GH
GH-12,GH
GH-13,GH
GH-14,GH
GH-15,GH
GH-16,GH
GH-17,GH
GH-18,GH
GH-19,GH
GH-20,GH
GL-1,GL
GL-2,GL
